"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",9,17911,"trigram","RDP","token",0,0,10.0000000000001,4.00000000000001,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDR","token",0,13,871.000000000009,2241.00000000001,46.9999999999999,0,0,NA
"subtlex_uk",9,17911,"trigram","RDS","token",0,0,378.999999999998,367.000000000002,14.0000000000001,0,17911.0000000001,NA
"subtlex_uk",9,17911,"trigram","RDT","token",0,0,0,0,0,0,94.0000000000004,NA
"subtlex_uk",9,17911,"trigram","RDU","token",0,2.99999999999998,7.99999999999993,0,0,4.00000000000001,0,NA
"subtlex_uk",9,17911,"trigram","RDV","token",0,0,6.00000000000005,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDW","token",0,0,109.000000000001,103,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RDY","token",0,0,35.0000000000002,0,162.999999999999,2.99999999999998,119.999999999999,NA
"subtlex_uk",9,17911,"trigram","RDZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REA","token",8501,34408,6947.00000000006,8798.99999999993,1250,3016.00000000002,6.99999999999993,NA
"subtlex_uk",9,17911,"trigram","REB","token",1653,103,246.000000000001,4.00000000000001,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REC","token",39980.9999999999,5030.99999999999,15491.0000000001,4315.00000000002,3.99999999999996,4394.99999999996,0,NA
"subtlex_uk",9,17911,"trigram","RED","token",5859.99999999999,6489.99999999999,439.999999999997,32,316.000000000002,45.0000000000003,30374,NA
"subtlex_uk",9,17911,"trigram","REE","token",26.9999999999998,4648.99999999997,10951,21.9999999999998,133.999999999999,1483,153,NA
"subtlex_uk",9,17911,"trigram","REF","token",8038.00000000001,1718.00000000002,8808.00000000006,8291.99999999995,1.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","REG","token",9014.00000000003,1675.99999999999,901.999999999998,550.999999999997,234.999999999998,0,1.99999999999998,NA
"subtlex_uk",9,17911,"trigram","REH","token",2720.99999999999,75.0000000000006,1407,107,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REI","token",1228,102,417,41.0000000000002,1910.00000000002,8.99999999999991,11,NA
"subtlex_uk",9,17911,"trigram","REJ","token",1135,946.999999999997,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REK","token",60.0000000000001,0,0,0,0,1.99999999999998,5.99999999999999,NA
"subtlex_uk",9,17911,"trigram","REL","token",16586.9999999999,22.9999999999999,256.999999999998,1243,42.9999999999999,2396.99999999998,160,NA
"subtlex_uk",9,17911,"trigram","REM","token",9575.00000000007,1458,162.000000000002,13141.9999999999,1.99999999999998,3.99999999999996,0,NA
"subtlex_uk",9,17911,"trigram","REN","token",3470.00000000001,2032.00000000001,3549,12148.9999999999,3110.99999999998,92349.9999999999,10.9999999999999,NA
"subtlex_uk",9,17911,"trigram","REO","token",201.000000000001,16.0000000000001,2.99999999999998,4.99999999999996,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REP","token",15375,4668.00000000003,3613.00000000004,462.000000000001,0,0,0,NA
"subtlex_uk",9,17911,"trigram","REQ","token",1329.99999999999,646.000000000003,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RER","token",29.0000000000001,1.99999999999998,0,163.999999999999,18.9999999999999,3146.99999999999,722.999999999999,NA
"subtlex_uk",9,17911,"trigram","RES","token",25922.0000000001,36312.0000000002,4669,22013.9999999999,5465.99999999994,787.999999999998,11019,NA
"subtlex_uk",9,17911,"trigram","RET","token",7450.00000000003,1299,4084.99999999999,22263.9999999998,2839.00000000002,247,628.000000000005,NA
"subtlex_uk",9,17911,"trigram","REU","token",115,4.00000000000001,6.00000000000005,55.9999999999997,0,10.9999999999999,0,NA
"subtlex_uk",9,17911,"trigram","REV","token",4838.00000000001,1800.00000000001,0,2.99999999999998,17.0000000000001,97.9999999999993,12.0000000000001,NA
"subtlex_uk",9,17911,"trigram","REW","token",1379.00000000001,214.999999999999,1748,13.9999999999999,15.9999999999998,7.99999999999992,410.999999999998,NA
"subtlex_uk",9,17911,"trigram","REX","token",1.99999999999998,0,1.99999999999998,19.0000000000002,4.99999999999995,0,1.99999999999998,NA
"subtlex_uk",9,17911,"trigram","REY","token",83.9999999999994,431.000000000002,1.99999999999998,0,0,555.000000000003,132.000000000001,NA
"subtlex_uk",9,17911,"trigram","REZ","token",0,0,0,0,2.99999999999998,0,52,NA
"subtlex_uk",9,17911,"trigram","RFA","token",0,0,71.0000000000005,6.99999999999999,1174.00000000001,4.00000000000001,0,NA
"subtlex_uk",9,17911,"trigram","RFB","token",0,0,137.000000000001,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFC","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFD","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFE","token",0,0,10517.0000000001,40.0000000000001,1098,0,0,NA
"subtlex_uk",9,17911,"trigram","RFF","token",0,0,0,11.0000000000001,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFG","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFH","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFI","token",0,0,119.999999999999,112,49.0000000000002,1.99999999999998,0,NA
"subtlex_uk",9,17911,"trigram","RFJ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFK","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFL","token",0,0,0,53.9999999999996,4.00000000000001,2180.99999999998,0,NA
"subtlex_uk",9,17911,"trigram","RFM","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFN","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFO","token",0,0,4873.99999999999,15.0000000000002,344.000000000001,0,0,NA
"subtlex_uk",9,17911,"trigram","RFP","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFR","token",0,0,6.00000000000005,34.0000000000001,2.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RFS","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFT","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFU","token",0,0,276.000000000001,38.0000000000004,1.99999999999998,45635.9999999999,0,NA
"subtlex_uk",9,17911,"trigram","RFV","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RFY","token",0,0,0,0,0,1.99999999999998,0,NA
"subtlex_uk",9,17911,"trigram","RFZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGA","token",0,6097.99999999998,752,71.9999999999998,207.999999999998,641.999999999996,0,NA
"subtlex_uk",9,17911,"trigram","RGB","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGC","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGD","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGE","token",0,2716.99999999999,2097,10760,361.000000000001,809.999999999999,839.999999999997,NA
"subtlex_uk",9,17911,"trigram","RGF","token",0,0,0,15.0000000000002,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGG","token",0,0,1.99999999999998,6.99999999999994,26.0000000000001,4.99999999999996,0,NA
"subtlex_uk",9,17911,"trigram","RGH","token",0,13.9999999999999,6.99999999999994,2.99999999999998,27.0000000000002,15.0000000000001,8476.99999999997,NA
"subtlex_uk",9,17911,"trigram","RGI","token",0,8.99999999999999,753.999999999995,484.999999999999,985.999999999996,119.000000000001,0,NA
"subtlex_uk",9,17911,"trigram","RGJ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGK","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGL","token",0,0,1.99999999999998,113.000000000001,95.9999999999997,0,2.99999999999998,NA
"subtlex_uk",9,17911,"trigram","RGM","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGN","token",0,0,18.9999999999999,0,1.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RGO","token",0,50.0000000000002,6691.00000000006,34.9999999999999,437.000000000001,0,0,NA
"subtlex_uk",9,17911,"trigram","RGP","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGR","token",0,0,10.9999999999999,946.000000000001,71.0000000000005,0,0,NA
"subtlex_uk",9,17911,"trigram","RGS","token",0,0,4.99999999999995,0,0,0,24.0000000000002,NA
"subtlex_uk",9,17911,"trigram","RGT","token",0,0,0,0,1.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RGU","token",0,3050.00000000002,45.0000000000003,48.0000000000003,8.99999999999999,0,0,NA
"subtlex_uk",9,17911,"trigram","RGV","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RGY","token",0,0,4.99999999999995,223,1.99999999999998,0,3.99999999999996,NA
"subtlex_uk",9,17911,"trigram","RGZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHA","token",1.99999999999998,0,10.9999999999999,61.0000000000003,135.000000000001,920.999999999995,0,NA
"subtlex_uk",9,17911,"trigram","RHB","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHC","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHD","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHE","token",59.9999999999996,0,10.0000000000001,472.000000000001,1271,8.00000000000003,0,NA
"subtlex_uk",9,17911,"trigram","RHF","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHG","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHH","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHI","token",94,0,0,0,73.0000000000003,0,0,NA
"subtlex_uk",9,17911,"trigram","RHJ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHK","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHL","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHM","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHN","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHO","token",26.0000000000003,0,15,144,649.000000000006,11.0000000000001,0,NA
"subtlex_uk",9,17911,"trigram","RHP","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHQ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHR","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHS","token",0,0,0,0,0,0,0,NA
