"corpus","word_length","n_words","ngram","bigram","method","freq"
"subtlex_uk",3,5268,"bigram","LZ","token",12
"subtlex_uk",3,5268,"bigram","MA","token",276854.000000002
"subtlex_uk",3,5268,"bigram","MB","token",528.999999999998
"subtlex_uk",3,5268,"bigram","MC","token",514
"subtlex_uk",3,5268,"bigram","MD","token",258.000000000001
"subtlex_uk",3,5268,"bigram","ME","token",81802.0000000004
"subtlex_uk",3,5268,"bigram","MF","token",2658.99999999998
"subtlex_uk",3,5268,"bigram","MG","token",468
"subtlex_uk",3,5268,"bigram","MH","token",55.9999999999998
"subtlex_uk",3,5268,"bigram","MI","token",24646.0000000001
"subtlex_uk",3,5268,"bigram","MJ","token",30.0000000000001
"subtlex_uk",3,5268,"bigram","MK","token",6.99999999999993
"subtlex_uk",3,5268,"bigram","ML","token",392.999999999998
"subtlex_uk",3,5268,"bigram","MM","token",40390.0000000004
"subtlex_uk",3,5268,"bigram","MN","token",51.9999999999997
"subtlex_uk",3,5268,"bigram","MO","token",12360
"subtlex_uk",3,5268,"bigram","MP","token",12657
"subtlex_uk",3,5268,"bigram","MQ","token",63.0000000000004
"subtlex_uk",3,5268,"bigram","MR","token",19857.9999999999
"subtlex_uk",3,5268,"bigram","MS","token",2331.00000000001
"subtlex_uk",3,5268,"bigram","MT","token",893.999999999999
"subtlex_uk",3,5268,"bigram","MU","token",65417.0000000001
"subtlex_uk",3,5268,"bigram","MV","token",112
"subtlex_uk",3,5268,"bigram","MW","token",802
"subtlex_uk",3,5268,"bigram","MX","token",255.999999999998
"subtlex_uk",3,5268,"bigram","MY","token",6748.00000000004
"subtlex_uk",3,5268,"bigram","MZ","token",6.99999999999999
"subtlex_uk",3,5268,"bigram","NA","token",17826
"subtlex_uk",3,5268,"bigram","NB","token",309.000000000001
"subtlex_uk",3,5268,"bigram","NC","token",667.000000000004
"subtlex_uk",3,5268,"bigram","ND","token",4374864.00000004
"subtlex_uk",3,5268,"bigram","NE","token",943166.000000003
"subtlex_uk",3,5268,"bigram","NF","token",191.000000000001
"subtlex_uk",3,5268,"bigram","NG","token",1965.00000000001
"subtlex_uk",3,5268,"bigram","NH","token",11201
"subtlex_uk",3,5268,"bigram","NI","token",4903.99999999999
"subtlex_uk",3,5268,"bigram","NJ","token",12.0000000000001
"subtlex_uk",3,5268,"bigram","NK","token",2136.00000000001
"subtlex_uk",3,5268,"bigram","NL","token",53.0000000000001
"subtlex_uk",3,5268,"bigram","NM","token",166.999999999998
"subtlex_uk",3,5268,"bigram","NN","token",5622.99999999997
"subtlex_uk",3,5268,"bigram","NO","token",1628842
"subtlex_uk",3,5268,"bigram","NP","token",7661.00000000002
"subtlex_uk",3,5268,"bigram","NQ","token",4.99999999999995
"subtlex_uk",3,5268,"bigram","NR","token",325.999999999999
"subtlex_uk",3,5268,"bigram","NS","token",1305.00000000001
"subtlex_uk",3,5268,"bigram","NT","token",2220.99999999998
"subtlex_uk",3,5268,"bigram","NU","token",3755.00000000001
"subtlex_uk",3,5268,"bigram","NV","token",132.000000000001
"subtlex_uk",3,5268,"bigram","NW","token",38.0000000000001
"subtlex_uk",3,5268,"bigram","NX","token",7.99999999999997
"subtlex_uk",3,5268,"bigram","NY","token",207662.999999998
"subtlex_uk",3,5268,"bigram","NZ","token",5.99999999999995
"subtlex_uk",3,5268,"bigram","OA","token",4620.99999999998
"subtlex_uk",3,5268,"bigram","OB","token",107894
"subtlex_uk",3,5268,"bigram","OC","token",3145.99999999999
"subtlex_uk",3,5268,"bigram","OD","token",71616.0000000004
"subtlex_uk",3,5268,"bigram","OE","token",20214
"subtlex_uk",3,5268,"bigram","OF","token",245479.000000002
"subtlex_uk",3,5268,"bigram","OG","token",38111.0000000002
"subtlex_uk",3,5268,"bigram","OH","token",45288.9999999998
"subtlex_uk",3,5268,"bigram","OI","token",20655.0000000002
"subtlex_uk",3,5268,"bigram","OJ","token",68.0000000000002
"subtlex_uk",3,5268,"bigram","OK","token",5645.00000000003
"subtlex_uk",3,5268,"bigram","OL","token",128921.999999999
"subtlex_uk",3,5268,"bigram","OM","token",31776.9999999999
"subtlex_uk",3,5268,"bigram","ON","token",842075.000000004
"subtlex_uk",3,5268,"bigram","OO","token",260689.000000001
"subtlex_uk",3,5268,"bigram","OP","token",117054.000000001
"subtlex_uk",3,5268,"bigram","OQ","token",89.9999999999992
"subtlex_uk",3,5268,"bigram","OR","token",1716002.99999999
"subtlex_uk",3,5268,"bigram","OS","token",59425.0000000005
"subtlex_uk",3,5268,"bigram","OT","token",1890979
"subtlex_uk",3,5268,"bigram","OU","token",5129298.00000006
"subtlex_uk",3,5268,"bigram","OV","token",395.000000000001
"subtlex_uk",3,5268,"bigram","OW","token",1184606.00000001
"subtlex_uk",3,5268,"bigram","OX","token",34639.0000000001
"subtlex_uk",3,5268,"bigram","OY","token",56922
"subtlex_uk",3,5268,"bigram","OZ","token",672.999999999999
"subtlex_uk",3,5268,"bigram","PA","token",83074.0000000006
"subtlex_uk",3,5268,"bigram","PB","token",85.0000000000001
"subtlex_uk",3,5268,"bigram","PC","token",1181
"subtlex_uk",3,5268,"bigram","PD","token",170
"subtlex_uk",3,5268,"bigram","PE","token",29448.0000000001
"subtlex_uk",3,5268,"bigram","PF","token",663.000000000001
"subtlex_uk",3,5268,"bigram","PG","token",328
"subtlex_uk",3,5268,"bigram","PH","token",1917
"subtlex_uk",3,5268,"bigram","PI","token",23670
"subtlex_uk",3,5268,"bigram","PJ","token",72.0000000000006
"subtlex_uk",3,5268,"bigram","PK","token",31.9999999999999
"subtlex_uk",3,5268,"bigram","PL","token",1364
"subtlex_uk",3,5268,"bigram","PM","token",262.000000000001
"subtlex_uk",3,5268,"bigram","PN","token",109.000000000001
"subtlex_uk",3,5268,"bigram","PO","token",41663.0000000002
"subtlex_uk",3,5268,"bigram","PP","token",1617
"subtlex_uk",3,5268,"bigram","PQ","token",0
