"corpus","sequence_length","n_sequences","ngram","biphone","method","freq"
"CMU",2,1000,"biphone","AE-IY","type",0
"CMU",2,1000,"biphone","AH-IY","type",0
"CMU",2,1000,"biphone","AO-IY","type",0
"CMU",2,1000,"biphone","AW-IY","type",1
"CMU",2,1000,"biphone","AY-IY","type",0
"CMU",2,1000,"biphone","EH-IY","type",0
"CMU",2,1000,"biphone","ER-IY","type",0
"CMU",2,1000,"biphone","EY-IY","type",0
"CMU",2,1000,"biphone","IH-IY","type",0
"CMU",2,1000,"biphone","IY-IY","type",1
"CMU",2,1000,"biphone","OW-IY","type",0
"CMU",2,1000,"biphone","OY-IY","type",0
"CMU",2,1000,"biphone","UH-IY","type",0
"CMU",2,1000,"biphone","UW-IY","type",1
"CMU",2,1000,"biphone","AX-IY","type",0
"CMU",2,1000,"biphone","AXR-IY","type",0
"CMU",2,1000,"biphone","IX-IY","type",0
"CMU",2,1000,"biphone","UX-IY","type",0
"CMU",2,1000,"biphone","B-IY","type",6
"CMU",2,1000,"biphone","CH-IY","type",2
"CMU",2,1000,"biphone","D-IY","type",6
"CMU",2,1000,"biphone","DH-IY","type",2
"CMU",2,1000,"biphone","F-IY","type",2
"CMU",2,1000,"biphone","G-IY","type",3
"CMU",2,1000,"biphone","HH-IY","type",2
"CMU",2,1000,"biphone","JH-IY","type",7
"CMU",2,1000,"biphone","K-IY","type",8
"CMU",2,1000,"biphone","L-IY","type",4
"CMU",2,1000,"biphone","M-IY","type",4
"CMU",2,1000,"biphone","N-IY","type",5
"CMU",2,1000,"biphone","NG-IY","type",0
"CMU",2,1000,"biphone","P-IY","type",5
"CMU",2,1000,"biphone","R-IY","type",4
"CMU",2,1000,"biphone","S-IY","type",10
"CMU",2,1000,"biphone","SH-IY","type",6
"CMU",2,1000,"biphone","T-IY","type",6
"CMU",2,1000,"biphone","TH-IY","type",1
"CMU",2,1000,"biphone","V-IY","type",5
"CMU",2,1000,"biphone","W-IY","type",5
"CMU",2,1000,"biphone","Y-IY","type",4
"CMU",2,1000,"biphone","Z-IY","type",5
"CMU",2,1000,"biphone","ZH-IY","type",0
"CMU",2,1000,"biphone","Q-IY","type",0
"CMU",2,1000,"biphone","AA-OW","type",0
"CMU",2,1000,"biphone","AE-OW","type",0
"CMU",2,1000,"biphone","AH-OW","type",1
"CMU",2,1000,"biphone","AO-OW","type",0
"CMU",2,1000,"biphone","AW-OW","type",0
"CMU",2,1000,"biphone","AY-OW","type",1
"CMU",2,1000,"biphone","EH-OW","type",0
"CMU",2,1000,"biphone","ER-OW","type",0
"CMU",2,1000,"biphone","EY-OW","type",1
"CMU",2,1000,"biphone","IH-OW","type",0
"CMU",2,1000,"biphone","IY-OW","type",0
"CMU",2,1000,"biphone","OW-OW","type",0
"CMU",2,1000,"biphone","OY-OW","type",0
"CMU",2,1000,"biphone","UH-OW","type",0
"CMU",2,1000,"biphone","UW-OW","type",0
"CMU",2,1000,"biphone","AX-OW","type",0
"CMU",2,1000,"biphone","AXR-OW","type",0
"CMU",2,1000,"biphone","IX-OW","type",0
"CMU",2,1000,"biphone","UX-OW","type",0
"CMU",2,1000,"biphone","B-OW","type",7
"CMU",2,1000,"biphone","CH-OW","type",2
"CMU",2,1000,"biphone","D-OW","type",4
"CMU",2,1000,"biphone","DH-OW","type",2
"CMU",2,1000,"biphone","F-OW","type",2
"CMU",2,1000,"biphone","G-OW","type",5
"CMU",2,1000,"biphone","HH-OW","type",4
"CMU",2,1000,"biphone","JH-OW","type",3
"CMU",2,1000,"biphone","K-OW","type",6
"CMU",2,1000,"biphone","L-OW","type",7
"CMU",2,1000,"biphone","M-OW","type",5
"CMU",2,1000,"biphone","N-OW","type",6
"CMU",2,1000,"biphone","NG-OW","type",0
"CMU",2,1000,"biphone","P-OW","type",3
"CMU",2,1000,"biphone","R-OW","type",10
"CMU",2,1000,"biphone","S-OW","type",4
"CMU",2,1000,"biphone","SH-OW","type",3
"CMU",2,1000,"biphone","T-OW","type",3
"CMU",2,1000,"biphone","TH-OW","type",0
"CMU",2,1000,"biphone","V-OW","type",1
"CMU",2,1000,"biphone","W-OW","type",3
"CMU",2,1000,"biphone","Y-OW","type",4
"CMU",2,1000,"biphone","Z-OW","type",1
"CMU",2,1000,"biphone","ZH-OW","type",0
"CMU",2,1000,"biphone","Q-OW","type",0
"CMU",2,1000,"biphone","AA-OY","type",0
"CMU",2,1000,"biphone","AE-OY","type",0
"CMU",2,1000,"biphone","AH-OY","type",0
"CMU",2,1000,"biphone","AO-OY","type",0
"CMU",2,1000,"biphone","AW-OY","type",0
"CMU",2,1000,"biphone","AY-OY","type",0
"CMU",2,1000,"biphone","EH-OY","type",0
"CMU",2,1000,"biphone","ER-OY","type",0
"CMU",2,1000,"biphone","EY-OY","type",0
"CMU",2,1000,"biphone","IH-OY","type",0
"CMU",2,1000,"biphone","IY-OY","type",0
"CMU",2,1000,"biphone","OW-OY","type",0
"CMU",2,1000,"biphone","OY-OY","type",0
"CMU",2,1000,"biphone","UH-OY","type",0
"CMU",2,1000,"biphone","UW-OY","type",0
"CMU",2,1000,"biphone","AX-OY","type",0
"CMU",2,1000,"biphone","AXR-OY","type",0
"CMU",2,1000,"biphone","IX-OY","type",0
"CMU",2,1000,"biphone","UX-OY","type",0
"CMU",2,1000,"biphone","B-OY","type",2
"CMU",2,1000,"biphone","CH-OY","type",2
"CMU",2,1000,"biphone","D-OY","type",1
"CMU",2,1000,"biphone","DH-OY","type",0
"CMU",2,1000,"biphone","F-OY","type",3
"CMU",2,1000,"biphone","G-OY","type",1
"CMU",2,1000,"biphone","HH-OY","type",3
"CMU",2,1000,"biphone","JH-OY","type",2
"CMU",2,1000,"biphone","K-OY","type",2
"CMU",2,1000,"biphone","L-OY","type",2
"CMU",2,1000,"biphone","M-OY","type",2
"CMU",2,1000,"biphone","N-OY","type",2
