"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",3,6841,"phoneme","Z","type",99,15,624,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","ZH","type",9,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",3,6841,"phoneme","Q","type",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AA","type",203,1146,350,58,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AE","type",244,1038,329,1,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AH","type",248,744,714,1066,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AO","type",117,689,201,55,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AW","type",34,280,104,41,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AY","type",158,799,233,67,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","EH","type",342,1235,356,8,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","ER","type",91,726,348,2343,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","EY","type",104,932,311,202,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","IH","type",166,1156,641,4,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","IY","type",97,1136,449,2475,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","OW","type",176,978,251,892,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","OY","type",5,146,41,41,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","UH","type",6,173,22,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","UW","type",19,737,304,148,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AX","type",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","AXR","type",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","IX","type",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","UX","type",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","B","type",1327,110,480,99,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","CH","type",207,19,188,125,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","D","type",822,119,638,826,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","DH","type",8,4,70,15,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","F","type",741,46,321,159,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","G","type",668,70,366,126,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","HH","type",807,22,63,1,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","JH","type",373,33,102,97,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","K","type",1502,215,1004,646,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","L","type",885,909,1727,395,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","M","type",902,212,663,264,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","N","type",446,255,1591,776,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","NG","type",0,18,223,191,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","P","type",806,165,435,226,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","R","type",862,1229,1200,194,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","S","type",1397,134,678,1305,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","SH","type",529,42,174,117,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","T","type",694,297,983,1072,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","TH","type",119,19,68,81,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","V","type",273,77,326,65,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","W","type",535,252,47,2,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","Y","type",204,115,36,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","Z","type",197,56,278,2148,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","ZH","type",21,2,20,4,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",4,16335,"phoneme","Q","type",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AA","type",386,2124,569,526,73,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AE","type",464,2237,467,324,2,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AH","type",471,1658,616,4668,1336,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AO","type",174,1017,231,339,67,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AW","type",77,288,102,139,58,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AY","type",103,907,319,348,65,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","EH","type",485,2368,530,709,5,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","ER","type",77,1181,245,1832,2860,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","EY","type",97,1019,442,368,255,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","IH","type",304,2400,648,3465,2,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","IY","type",98,1322,564,1398,2455,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","OW","type",236,1316,366,466,1142,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","OY","type",5,122,32,75,42,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","UH","type",4,278,42,91,3,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","UW","type",12,925,453,217,147,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AX","type",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","AXR","type",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","IX","type",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","UX","type",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","B","type",2212,124,984,457,68,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","CH","type",302,17,343,176,84,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","D","type",1421,173,1218,822,1241,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","DH","type",14,1,69,34,1,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","F","type",1089,73,515,197,184,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","G","type",1171,79,765,273,163,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","HH","type",1413,17,196,38,10,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","JH","type",432,34,257,133,149,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","K","type",2430,428,1471,1153,1082,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","L","type",1258,1199,2425,1566,1875,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","M","type",1661,310,1344,506,441,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","N","type",648,472,2157,1402,3009,NA,NA,NA,NA,NA,NA,NA
